task_id,tier,score,latency,valid,cost
HumanEval/146,Tier 4,1.5122344497607656,3.3812339305877686,True,80
HumanEval/21,Tier 1,0.47385167464114836,12.884836673736572,True,4
HumanEval/140,Tier 2,0.8105454545454546,7.332493782043457,True,12
HumanEval/70,Tier 3,1.1698803827751199,36.11218786239624,True,30
HumanEval/37,Tier 2,0.95566028708134,1.9086005687713623,True,12
HumanEval/151,Tier 4,1.6400574162679427,35.27096152305603,True,80
HumanEval/77,Tier 3,1.494569377990431,12.386873483657837,True,30
HumanEval/2,Tier 0,0.2823349282296651,0.4475562572479248,True,1
HumanEval/65,Tier 2,0.7082248803827753,2.0412776470184326,True,12
HumanEval/19,Tier 3,1.2157224880382778,7.484030723571777,True,30
HumanEval/80,Tier 1,0.5512296650717704,12.763398170471191,True,4
HumanEval/20,Tier 1,0.47385167464114836,35.83464193344116,True,4
HumanEval/139,Tier 3,1.186239234449761,4.474707365036011,True,30
HumanEval/149,Tier 1,0.5603732057416269,12.011046648025513,True,4
HumanEval/42,Tier 2,0.7082248803827753,1.3055484294891357,True,12
HumanEval/26,Tier 3,1.1646555023923448,7.6231749057769775,True,30
HumanEval/4,Tier 4,1.6439760765550242,11.549441814422607,True,80
HumanEval/106,Tier 4,1.656416267942584,21.933343172073364,True,80
HumanEval/138,Tier 3,1.3136267942583735,10.971804141998291,True,30
HumanEval/98,Tier 0,0.21309090909090914,0.36484789848327637,True,1
