task_id,tier,score,latency,valid,cost
HumanEval/17,Tier 3,1.3179808612440194,12.46098017692566,True,30
HumanEval/30,Tier 2,0.7082248803827753,0.873239278793335,True,12
HumanEval/14,Tier 2,0.7954545454545455,0.9497015476226807,True,12
HumanEval/72,Tier 2,1.117507177033493,0.8076777458190918,True,12
HumanEval/66,Tier 3,1.4120909090909095,3.207066774368286,True,30
HumanEval/13,Tier 2,0.95566028708134,1.0473136901855469,True,12
HumanEval/96,Tier 3,1.3472775119617229,4.003840446472168,True,30
HumanEval/81,Tier 3,1.3304210526315792,17.67238140106201,True,30
HumanEval/92,Tier 2,0.7134497607655503,1.2930586338043213,True,12
HumanEval/29,Tier 2,0.7954545454545455,0.5189080238342285,True,12
HumanEval/136,Tier 2,0.95566028708134,1.6129324436187744,True,12
HumanEval/19,Tier 3,1.2157224880382778,14.969472885131836,True,30
HumanEval/76,Tier 3,1.2155358851674645,2.199615478515625,True,30
HumanEval/94,Tier 2,0.9634976076555026,3.2053191661834717,True,12
HumanEval/100,Tier 1,0.5249186602870815,1.46085524559021,True,4
HumanEval/86,Tier 0,0.061583732057416275,10.752824544906616,True,1
HumanEval/23,Tier 0,0.18081818181818182,2.8769211769104004,True,1
HumanEval/64,Tier 3,1.3210909090909093,12.488749027252197,True,30
HumanEval/26,Tier 3,1.1646555023923448,8.108384847640991,True,30
HumanEval/61,Tier 1,0.38481818181818184,1.5122005939483643,True,4
